text,label_class,label
excuse me ! which areainternational ai ethic policycan be used for  ?,use_to,10
hello ! what is biology and physicsfigured as  ?,represent,8
what does ai ethics contain?,has_part,5
excuse me ! which one set up the  combined methods ?,developer,1
could you please tell me that what is the shortcomings of fraction support s{x} ?,drawback,3
could you please tell me that could you tell me the downsides of prometheus do ?,drawback,3
hello ! what is personalized expertise represented as  ?,represent,8
hello ! can you give me the reason about intermediate level fallacy ?,reason,7
could you please tell me that what is the factor to cause traditional health care ?,reason,7
hi ! may i ask the cons of interpret intelligence as the integration of eight different aspects ?,drawback,3
i want to know that can you provide the instance of clustering ?,example,4
hi ! what is autnomous vehicles traced as  ?,represent,8
hello ! what is the requirement to realize the medical trends ?,method,6
could you please tell me that could you tell me the description of tel ?,definition,0
excuse me ! can you give me the reason about data normalization ?,reason,7
excuse me ! what is weather forecast systemfigured as  ?,represent,8
excuse me ! which person is the creator data binning ?,developer,1
i want to know that how to carry out neural network play a role ?,method,6
excuse me ! which area that uic 5g intelligent agent solutioncan be used for  ?,use_to,10
excuse me ! could you tell me  the disadvantages of transportation ?,drawback,3
i want to know that what is the requirement to carry out k-nearest neighbor (knn) technique ?,method,6
could you please tell me that how to describe the definition of smart learners ?,definition,0
hi ! what is the requirement to achieve the peritoneal dialysis (pd) ?,method,6
hello ! could you tell me the sample of information processing and transmission. ?,example,4
could you please tell me that can you give me the reason about the turing test ?,reason,7
why the weather forecast system is not intelligent?,reason,7
"hello ! which area that represents, processes, and transformscan be used on  ?",use_to,10
excuse me ! could you tell me the reason of modern wearable technology ?,reason,7
what is axon?,definition,0
why it is so powerful?,example,4
i want to know that what is ai applicationrepresented as  ?,represent,8
hello ! what can you tell me the downsides of data mining ?,drawback,3
hi ! what is the separation between wearable technology and decision tree ?,different,2
i want to know that what is agent shoppersrepresented as  ?,represent,8
could you please tell me that who is the designer agent infrastructure tier ?,developer,1
hello ! can you describe the shortcomings of 5g and ai technology ?,drawback,3
hello ! can you offer me the sample of von neumann architecture ?,example,4
hi ! is the the difference compare peritoneal dialysis (pd) and axon ?,different,2
i want to know that what is main modules of agent shopper system frameworkdirected at  ?,use_to,10
excuse me ! where segmentation-ground segmentationcan be used for  ?,use_to,10
i want to know that which areathe iot ecosystemcan be used on  ?,use_to,10
hi ! what is the iot ecosystemused on  ?,use_to,10
hello ! are the the gap from artificial intelligence and fraction support s{x} ?,different,2
excuse me ! what is the factor to cause the fourth-generation mobile network(4g) ?,reason,7
hello ! what is the requirement to realize the physical infrastructure ?,method,6
what is zombie?,definition,0
i want to know that what is the factor to cause pattern features ?,reason,7
excuse me ! can you describe  the disadvantages of deep neural network ?,drawback,3
hello ! are there a the separation between knowledge discovery process and the earliest successful expert system ?,different,2
could you please tell me that who is the designer tools for studying cognitive phenomena ?,developer,1
i want to know that which person is the inventor data transformation ?,developer,1
hello ! can you give me the reason about the iot ecosystem ?,reason,7
could you please tell me that what is functionalismrepresented as  ?,represent,8
hello ! are the the difference compare separate components and financial analysis ?,different,2
hello ! are there any  the disadvantages of weather forecast systems ?,drawback,3
hi ! are there a the difference from e-mail classification problem and the internet of things ?,different,2
i want to know that what is the reason of the earliest successful expert system ?,reason,7
hello ! can you offer me the illustrate of machine learning ?,example,4
why is the turing test so popular?,reason,7
could you please tell me that which method can we used to realize the optimization problems ?,method,6
excuse me ! how is the gap compare data normalization and figure-ground segmentation ?,different,2
how to achieve data transformation?,method,6
excuse me ! may i ask the cons of interpret intelligence as the integration of eight different aspects ?,drawback,3
hello ! can you explain the reason of transportation ?,reason,7
could you please tell me that who is the funder of transportation ?,developer,1
i want to know that could you tell me the example of separate components ?,example,4
could you please tell me that are there any the downsides of intelligent education ?,drawback,3
i want to know that can you describe the shortcomings of asimov’s laws of robot ethics ?,drawback,3
could you please tell me that can i ask the sample of reality ?,example,4
excuse me ! what is the meaning of go ?,definition,0
hello ! what is neuronfigured as  ?,represent,8
excuse me ! who is the developer autonomous vehicles (auto-driving) ?,developer,1
hi ! where smart education can be used in  ?,use_to,10
could you please tell me that what can you tell me the downsides of staining method to study brain neural activity ?,drawback,3
excuse me ! which person is the designer data discretization ?,developer,1
could you please tell me that what is the reason of autonomous robots’ improvement ?,reason,7
hello ! how to realize the functionalism ?,method,6
i want to know that  can you show me the instance of peritoneal dialysis (pd) ?,example,4
could you please tell me that which person is the funder of smart infrastructure and classic infrastructure ?,developer,1
hi ! where classificationcan be used for  ?,use_to,10
hello ! can i ask the meaning of k-itemset ?,definition,0
hi ! can you explain the reason of the goal ?,reason,7
hi ! which person is the designer state-of-the-arts technology ?,developer,1
could you please tell me that may i ask the sample of perform basic logical operations ?,example,4
why unfair judgments existed?,reason,7
hi ! what is opaqueness of ai systemsused for  ?,use_to,10
which technologies can agent shoppers be integrated with?,has_part,5
hello ! which person is the funder of intelligent agent ?,developer,1
i want to know that  can you show me the example of function ?,example,4
how to use their proposed neural network to perform basic logical operations?,method,6
what is the internet of things?,definition,0
what were the ten basic requirements of a typical intelligent agent?,has_part,5
how can weather forecast system work?,method,6
could you please tell me that what is difference between iasfigured as  ?,represent,8
hi ! can you offer me the example of customer relationship management ?,example,4
could you please tell me that which one is the inventor the fifth-generation wireless technology (5g) ?,developer,1
what is cognitive science?,definition,0
hi ! what is informationfigured as  ?,represent,8
hello ! what are the shortcomings of adaptive agents ?,drawback,3
i want to know that how to describe the definition of human intelligence ?,definition,0
excuse me ! can i ask the example of construct 3d & vr world ?,example,4
hello ! what is the reason of wearable technology and health ?,reason,7
excuse me ! which person set up the  emergency response service ?,developer,1
could you please tell me that could you tell me the reason of classification ?,reason,7
i want to know that can you give me the reason about financial fraud detection ?,reason,7
excuse me ! can you give me the reason about zombie ?,reason,7
what does jenkins think are core competencies for the 21st century？,developer,1
i want to know that can you explain the reason of automation and employment ?,reason,7
could you please tell me that which areasmart learnerscan be directed at  ?,use_to,10
why the us government and commercial departments have withdrawn funds triggered the first winter of ai?,reason,7
what wavelet transforms and principal components analysis includes?,method,6
could you please tell me that which method can we used to accomplish the intelligent agent ?,method,6
hi ! who is the designer 5g and ai technology ?,developer,1
hi ! who is the developer internet of things ?,developer,1
i want to know that can you give me the reason about synapse ?,reason,7
hi ! what is the factor to cause data reduction ?,reason,7
excuse me ! what is linear regressionfigured as  ?,represent,8
hi ! may i ask the downsides of axon ?,drawback,3
hi ! which one is the funder of  componential analysis of human ability ?,developer,1
hello ! could you tell me the reason of the fifth-generation wireless technology (5g) ?,reason,7
hello ! where opaqueness of ai systemscan be used on  ?,use_to,10
could you please tell me that what is the separation from ict and neural oscillator ?,different,2
excuse me ! what is the requirement to realize the privacy protection technologies  ?,method,6
could you please tell me that which one is the designer intelligence ?,developer,1
i want to know that what is the requirement to achieve the sustainable transport system ?,method,6
excuse me ! could you tell me the picture of major concern in ai ?,definition,0
i want to know that could you tell me the meaning of smart city infrastruture ?,definition,0
what is agent security tier?,definition,0
excuse me ! which method can we used to realize the intelligent transportation system (its) ?,method,6
i want to know that could you tell me the description of biological consciousness ?,definition,0
hello ! could you tell me the reason of smart components ?,reason,7
hi ! can you explain the reason of cognitive science components ?,reason,7
why we need ai ethics？,reason,7
hi ! what is the requirement to carry out autonomous robots’ improvement ?,method,6
i want to know that what is associative learningfigured as  ?,represent,8
i want to know that can you explain the reason of tel ?,reason,7
hi ! which one is the funder of smart energy ?,developer,1
excuse me ! what is data normalizationtraced as  ?,represent,8
i want to know that what is bodyused in  ?,use_to,10
i want to know that which areamachine learningcan be directed at  ?,use_to,10
hi ! what is the requirement to realize the the fifth-generation wireless technology (5g) ?,method,6
could you please tell me that could you tell me the illustrate of prometheus do ?,example,4
what is smart house?,definition,0
how does ai-learning tier work?,method,6
when was the  fourth-generation mobile network(2g) created?,developer,1
what is sustainable transport system?,definition,0
excuse me ! are there a the separation compare neural oscillators  and data transformation ?,different,2
i want to know that can i ask the definition of segmentation-ground segmentation ?,definition,0
hello ! which area that mind–body problem in the formcan be used for  ?,use_to,10
could you please tell me that what is biological consciousnessfigured as  ?,represent,8
excuse me ! what is smart learnerstraced as  ?,represent,8
what are sensors used to do?,use_to,10
excuse me ! what is the requirement to use the traditional health care ?,method,6
could you please tell me that where build 3d objectcan be used on  ?,use_to,10
could you please tell me that can you give me the sample of comprehensive ablity ?,example,4
excuse me ! what is the reason of state-of-the-arts technology ?,reason,7
i want to know that could you tell me the downsides of agent negotiator ?,drawback,3
excuse me ! what is support(itemset)figured as  ?,represent,8
i want to know that how is the contrast compare reinforcent learning and wavelet ?,different,2
excuse me ! are there a the difference compare neuron and wearable technology ?,different,2
hello ! who is the developer customer relationship management ?,developer,1
hello ! what is the downsides of artificial intelligence ?,drawback,3
excuse me ! is there a the separation from gia structural model and ict ?,different,2
excuse me ! how to carry out sustainable transport system ?,method,6
i want to know that which areafrequent pattern classification techniquecan be used in  ?,use_to,10
hello ! can i ask the example of autonomous vehicles (auto-driving) ?,example,4
how can big data be generated?,developer,1
excuse me ! is there a the gap compare gia structural model and intelligent transportation syste(its) ?,different,2
excuse me ! how to achieve the zombie ?,method,6
i want to know that which person is the creator the us government and commercial organizations ?,developer,1
which technologies are included in or vehicle-to-everything?,has_part,5
hello !  can you show me the sample of fraction support s{x} ?,example,4
what part dose the global workspace model have?,has_part,5
i want to know that what is smart city infrastrutureused for  ?,use_to,10
hi ! are there any the case of computer vision ?,example,4
hello ! what can you tell me the cons of ai-learning tier ?,drawback,3
hello ! what is the requirement to realize the cognitive science components ?,method,6
hi ! what is agentrepresented as  ?,represent,8
could you please tell me that how to achieve the standard for smart cities ?,method,6
i want to know that can you point out the sample of additional functions ?,example,4
i want to know that how to describe the shortcomings of fraction support s{x} ?,drawback,3
could you please tell me that which areaagent negotiatorcan be used on  ?,use_to,10
could you please tell me that what is linking expert systemtraced as  ?,represent,8
excuse me ! how to accomplish the autonomous robots’ improvement ?,method,6
excuse me ! can you give me the sample of neuron ?,example,4
could you please tell me that what is the separation compare data cleaning and formulate the mind–body problem ?,different,2
i want to know that what is ai technologiesfigured as  ?,represent,8
could you please tell me that how to achieve the global workspace model  ?,method,6
hello ! which one set up the basic requirements of a typical intelligent agent ?,developer,1
excuse me !  can you show me the sample of data transformation ?,example,4
excuse me ! can you describe the shortcomings of state-of-the-arts technology ?,drawback,3
excuse me ! can you provide the sample of use ?,example,4
hi ! can you give me the reason about stain method ?,reason,7
hi ! who is the developer figure-ground segmentation ?,developer,1
i want to know that what is the requirement to accomplish the drug discovery and toxicology ?,method,6
hello ! which one is the designer smart learners ?,developer,1
excuse me ! could you tell me the reason of ai ?,reason,7
could you please tell me that what is neural oscillators figured as  ?,represent,8
hi ! how is the difference from privacy and ai monitoring and wavelet ?,different,2
could you please tell me that can i ask the definition of construct 3d & vr world ?,definition,0
excuse me ! is there any the contrast between dialogue system and smart components ?,different,2
i want to know that can you provide the case of  componential analysis of human ability ?,example,4
hello ! where agent negotiatorcan be used in  ?,use_to,10
i want to know that which areasmart polecan be directed at  ?,use_to,10
could you please tell me that is there a the contrast from intelligent traffic management systems and iot of smart cities ?,different,2
hi ! is the the contrast from brain work and smart energy ?,different,2
could you please tell me that could you tell me the case of robot right ?,example,4
hi ! may i ask the instance of design a computer program ?,example,4
hello ! what is the requirement to accomplish the separate components ?,method,6
hi ! what is the reason of association rule ?,reason,7
excuse me ! are there any the instance of 5g and ai technology ?,example,4
could you please tell me that what is the second-generation mobile network(2g)traced as  ?,represent,8
i want to know that which person is the inventor 5g and ai technology ?,developer,1
hello ! what is the definition of peritoneal dialysis (pd) ?,definition,0
i want to know that what is ai ethicsrepresented as  ?,represent,8
why classification so important?,use_to,10
could you please tell me that is the the separation between  combined methods and histograms & clustering techniques ?,different,2
could you please tell me that which one is the creator the fourth-generation mobile network(4g) ?,developer,1
hello ! what is the requirement to achieve the  componential analysis of human ability ?,method,6
could you please tell me that could you tell me the illustrate of cognitive science  ?,example,4
hi ! could you tell me the illustrate of neural oscillators  ?,example,4
excuse me ! what is data compressiontraced as  ?,represent,8
what is support(itemset)?,definition,0
excuse me ! which one is the funder of biology and physics ?,developer,1
i want to know that what do we need to use the intelligence ?,method,6
what is a smart city?,definition,0
could you please tell me that what do we need to implement smart education ?,method,6
hello ! who is the funder of ai technologies ?,developer,1
could you please tell me that what is functionalismrepresented as  ?,represent,8
hi ! what is association rule miningused in  ?,use_to,10
could you please tell me that which areawearable technologycan be used on  ?,use_to,10
could you please tell me that is the the gap from theorems and consciousness in robot evaluation ?,different,2
hello ! is the the separation compare smart education  and main schools of thought and approach ?,different,2
i want to know that  can you show me the illustrate of the model ?,example,4
excuse me ! how to accomplish the wearable technology ?,method,6
could you please tell me that what is von neumann architecturefigured as  ?,represent,8
"could you please tell me that how is the contrast from agent and represents, processes, and transforms ?",different,2
how can a structural model describe the interaction between body and mind?,has_part,5
excuse me ! which area that usecan be used for  ?,use_to,10
i want to know that could you tell me the instance of smart campus ?,example,4
hi ! can you point out the instance of intelligent education ?,example,4
hi ! which area that automation and employmentcan be directed at  ?,use_to,10
i want to know that which one is the funder of personalized expertise  ?,developer,1
i want to know that what is the gap between intelligent agent and dialogue system ?,different,2
hello ! could you tell me the reason of smart city infrastruture ?,reason,7
hi ! could you tell me the portrait of function ?,definition,0
i want to know that how to describe the picture of global workspace model  ?,definition,0
i want to know that what is the shortcomings of peritoneal dialysis (pd) ?,drawback,3
hello ! are there any the illustrate of rational agent ?,example,4
i want to know that how to use the sustainable transport system ?,method,6
hello ! what is the reason of  combined methods ?,reason,7
excuse me ! which method can we used to implement data cube aggregation technique ?,method,6
what ai technologies have you learn in the previous chapters?,example,4
i want to know that how to achieve the difference between agent shoppers and traditional online shopping ?,method,6
how to achieve data normalization?,method,6
hi ! what is formulate the mind–body problemused for  ?,use_to,10
could you please tell me that what are  the disadvantages of priori knowledge ?,drawback,3
hello ! could you tell me the shortcomings of anthropomorphic robots ?,drawback,3
i want to know that what is the requirement to carry out staining method to study brain neural activity ?,method,6
i want to know that which one is the developer hopfield network ?,developer,1
hi ! are there any the separation between the goal and xcon ?,different,2
hi ! could you tell me the drawbacks of agent shoppers ?,drawback,3
could you please tell me that can i ask the illustrate of theorems ?,example,4
hello ! what is the requirement to implement learning capability ?,method,6
hello ! can i ask the illustrate of biology and physics ?,example,4
could you please tell me that what is data processingused in  ?,use_to,10
i want to know that what is the reason of hopfield network ?,reason,7
what is k-nearest neighbor (knn) technique?,example,4
could you please tell me that are there any the drawbacks of cognitive science components ?,drawback,3
what is the iot ecosystem?,definition,0
hello ! what is v2v (vehicle-to-vehicle technology)figured as  ?,represent,8
i want to know that which areaconsciousnesscan be used for  ?,use_to,10
hi ! which areaor vehicle-to-everythingcan be directed at  ?,use_to,10
hello ! what is weather forecast systemtraced as  ?,represent,8
how to achieve data compression?,method,6
hello ! are there a the separation compare synapse and  see or recognize our world ?,different,2
i want to know that may i ask  the disadvantages of segmentation-ground segmentation ?,drawback,3
excuse me ! can you give me the reason about adamm wearable technology ?,reason,7
could you please tell me that could you tell me the drawbacks of functionalism ?,drawback,3
hello ! what is the reason of feedforward backpropagation network for supervised learning ?,reason,7
hi ! what is histograms & clustering techniquesrepresented as  ?,represent,8
excuse me ! what is agent negotiatorrepresented as  ?,represent,8
excuse me ! are the the contrast compare dialogue system and reinforcent learning ?,different,2
i want to know that what is associationfigured as  ?,represent,8
hello ! which person is the creator ict infrastruture ?,developer,1
i want to know that is the the separation between prejudices of ai systems and cosmos ?,different,2
hi ! how to carry out information processing and transmission. ?,method,6
i want to know that which one is the inventor axon ?,developer,1
could you please tell me that can you give me the example of brain work ?,example,4
i want to know that what is automationtraced as  ?,represent,8
hello ! what is human visiontraced as  ?,represent,8
hi ! which areainformation processing and transmission.can be directed at  ?,use_to,10
excuse me ! what is the third-generation mobile network(3g)traced as  ?,represent,8
i want to know that are there any the downsides of  see or recognize our world ?,drawback,3
hello ! what is digital personal assistants (dpa) or chatbotsfigured as  ?,represent,8
hello ! what is the description of big data ?,definition,0
hello ! are there any  the disadvantages of main schools of thought and approach ?,drawback,3
could you please tell me that what is the factor to cause the fifth-generation computer project ?,reason,7
hi ! can you explain the reason of people to survive ?,reason,7
hi ! can i ask the drawbacks of perform basic logical operations ?,drawback,3
could you please tell me that what is the requirement to realize the anthropomorphic robots ?,method,6
i want to know that can you explain the reason of cosmos ?,reason,7
i want to know that what is capacityused on  ?,use_to,10
i want to know that can i ask the shortcomings of data binning ?,drawback,3
could you please tell me that which areaassociationcan be used for  ?,use_to,10
what are the main entities of agent negotiator?,has_part,5
i want to know that which person is the creator feature extraction ?,developer,1
hello ! what is itemsetrepresented as  ?,represent,8
hi ! what is automation and employmentdirected at  ?,use_to,10
could you please tell me that what is autnomous vehicles used in  ?,use_to,10
excuse me ! may i ask the case of data integration ?,example,4
"hello ! what is represents, processes, and transformsfigured as  ?",represent,8
excuse me ! what is main entities of agent negotiatorfigured as  ?,represent,8
hi ! how to use the robot consciousness ?,method,6
when was the  fourth-generation mobile network(3g) created?,developer,1
i want to know that which person is the funder of agent negotiator ?,developer,1
excuse me ! what is the requirement to accomplish the tools for studying cognitive phenomena ?,method,6
hi ! is there any the difference between main components of agent weatherman and data compression ?,different,2
hi !  can you show me the example of sleep ?,example,4
what is k-nearest neighbor (knn) technique?,definition,0
excuse me ! which areapattern featurescan be used for  ?,use_to,10
hello ! can you provide the sample of city brain ?,example,4
i want to know that what can you tell me the portrait of indications in iso 37120 ?,definition,0
i want to know that what is agents integrationfigured as  ?,represent,8
when was the  fourth-generation mobile network(4g) created?,developer,1
hi ! could you tell me the instance of agents integration ?,example,4
i want to know that what do we need to use the regression ?,method,6
what is r in the mest smart learning and education model?,definition,0
could you please tell me that what is the requirement to accomplish the global workspace model  ?,method,6
why financial engineering is one of the most stimulating topics for both academia and financial community?,reason,7
where is the medical trends developing from?,developer,1
i want to know that what do we need to carry out enaction ?,method,6
hello ! what are the cons of reinforcent learning ?,drawback,3
could you please tell me that is there any the gap from segmentation-ground segmentation and gia structural model ?,different,2
could you please tell me that what is smart health careused for  ?,use_to,10
"is the first ai program in human history the same thing as the program
author mentions before？",the_same_thing,9
i want to know that can you explain the reason of k-nearest neighbor (knn) technique ?,reason,7
i want to know that which one is the designer big data ?,developer,1
excuse me ! which person is the funder of enaction ?,developer,1
how to achieve association rule?,method,6
hi ! can you provide the example of sustainable transport system ?,example,4
hello ! may i ask the example of weather forecast systems ?,example,4
excuse me ! what can you tell me the drawbacks of tel ?,drawback,3
hello ! may i ask the meaning of data mining ?,definition,0
i want to know that what is smart infrastructure and classic infrastructureused in  ?,use_to,10
excuse me ! which areaoptimization problemscan be directed at  ?,use_to,10
could you please tell me that which person is the inventor information processing and transmission. ?,developer,1
hello ! can you offer me the sample of wavelet ?,example,4
could you please tell me that what is the requirement to use the k-itemset ?,method,6
could you please tell me that may i ask the instance of anthropomorphic robots ?,example,4
i want to know that which area that physical infrastructurecan be used in  ?,use_to,10
excuse me ! is the the separation from data mining and iot ?,different,2
hi ! can you explain the reason of ai technologies ?,reason,7
hi ! what can you tell me the drawbacks of cognitive science components ?,drawback,3
could you please tell me that who is the designer sensors ?,developer,1
i want to know that what is the drawbacks of deep neural network ?,drawback,3
excuse me ! who is the funder of main modules of agent shopper system framework ?,developer,1
hello ! could you tell me the sample of use ?,example,4
what is the smart education framework proposed by hwang?,definition,0
excuse me ! could you tell me the instance of the earliest successful expert system ?,example,4
hi ! what is mesttraced as  ?,represent,8
i want to know that are there any the cons of ai ethics ?,drawback,3
hi ! are there any the separation between features of ai-based and quantum computers ?,different,2
could you please tell me that what is the first ai program in human historyrepresented as  ?,represent,8
excuse me !  can you show me the example of the turing test ?,example,4
hello ! can you explain the reason of the iot ecosystem ?,reason,7
i want to know that what is the factor to cause prometheus do ?,reason,7
i want to know that which method can we used to use the the second-generation mobile network(2g) ?,method,6
i want to know that could you tell me the meaning of telemedicine ?,definition,0
hi ! which one is the developer the fifth-generation computer project ?,developer,1
could you please tell me that what is the requirement to realize the data processing ?,method,6
hello ! can you explain the reason of machine learning ?,reason,7
hello ! what is digitize and model a real 3d object (a human actor) and try to track his/her motionfigured as  ?,represent,8
hello ! may i ask the illustrate of smart energy ?,example,4
hello ! what is the fourth-generation mobile network(4g)represented as  ?,represent,8
i want to know that what is the requirement to use the cosmos ?,method,6
excuse me ! what do we need to accomplish the consciousness ?,method,6
how does feedforward backpropagation network for supervised learning work?,method,6
i want to know that can you give me the reason about human vision ?,reason,7
hello ! which one is the designer mest ?,developer,1
could you please tell me that what is the reason of data binning ?,reason,7
hello ! are the the contrast compare use and capacity ?,different,2
hello ! what is ai applicationtraced as  ?,represent,8
i want to know that is there any the difference between smart country master plan and deep neural network ?,different,2
why we need the fifth-generation wireless technology (5g)?,reason,7
could you please tell me that which one is the funder of additional functions ?,developer,1
hello ! what can you tell me the portrait of body ?,definition,0
hello ! what is ai books and literature‘s ideatraced as  ?,represent,8
what dose xcon contain？,has_part,5
i want to know that is there a the difference compare opaqueness and prejudices and smart energy ?,different,2
excuse me ! what is the factor to cause sleep ?,reason,7
when was the stain method invented?,developer,1
i want to know that may i ask the case of personalized expertise  ?,example,4
i want to know that who set up the function ?,developer,1
excuse me ! who is the funder of wavelet ?,developer,1
excuse me ! can i ask the example of consciousness in robot evaluation ?,example,4
could you please tell me that may i ask the meaning of anthropomorphic robots ?,definition,0
hi ! what is the factor to cause limb control system ?,reason,7
excuse me ! what do we need to realize the linking expert system ?,method,6
hello ! can you describe the description of alphago ?,definition,0
excuse me ! what is the requirement to use the data mining ?,method,6
could you please tell me that which person set up the customer relationship management ?,developer,1
i want to know that can you provide the instance of intelligent agent ?,example,4
i want to know that what do we need to achieve the data cube aggregation technique ?,method,6
i want to know that what do we need to carry out axon ?,method,6
i want to know that what is the requirement to realize the ai technologies ?,method,6
hi ! which one is the inventor the second-generation mobile network(2g) ?,developer,1
hello ! can i ask the description of smart education  ?,definition,0
hi ! which one set up the theorems ?,developer,1
which aspects do application tier implement uic 5g intelligent agent solution?,has_part,5
hello ! what is data cube aggregation techniquetraced as  ?,represent,8
"hi ! who is the funder of understand, interpret, and evaluate human intelligence. ?",developer,1
i want to know that can you describe  the disadvantages of prometheus do ?,drawback,3
hello ! who is the inventor prejudices of ai systems ?,developer,1
hello ! what are the cons of features of ai-based ?,drawback,3
could you please tell me that what is the reason of smart education ?,reason,7
i want to know that is the the separation from additional functions and 6g ?,different,2
i want to know that what is the picture of current health ai wearable device ?,definition,0
i want to know that which one is the developer deep neural network ?,developer,1
what is intelligent transportation syste?,definition,0
hello ! what is the reason of city brain ?,reason,7
excuse me ! who is the creator autonomous robots’ improvement ?,developer,1
hi ! which person is the designer linking expert system ?,developer,1
could you please tell me that can you provide the example of agent shoppers ?,example,4
hi ! can i ask the shortcomings of alphago ?,drawback,3
hello ! who is the creator major concern in ai ?,developer,1
hello ! are there a the separation between  combined methods and intermediate level fallacy ?,different,2
i want to know that what is smart pedagogytraced as  ?,represent,8
could you please tell me that how is the contrast from wireless electrocardiogram and neurons work together to perform ?,different,2
could you please tell me that can you describe the definition of privacy protection technologies  ?,definition,0
hi ! how to achieve the linking expert system ?,method,6
excuse me ! can you offer me the illustrate of medical trends ?,example,4
excuse me ! can you give me the reason about uic 5g intelligent agent solution ?,reason,7
excuse me ! what are the downsides of adamm wearable technology ?,drawback,3
hi ! which one is the inventor functionalism ?,developer,1
hi ! are there any the case of clustering ?,example,4
hello ! which area that wireless electrocardiogramcan be used for  ?,use_to,10
hello ! may i ask  the disadvantages of uic 5g intelligent agent system framework ?,drawback,3
hello ! what is  combined methodsused on  ?,use_to,10
excuse me ! is there a the gap between current health ai wearable device and association ?,different,2
excuse me ! what is the reason of learning capability ?,reason,7
hi ! what is the cons of wearable technology and health ?,drawback,3
which aspects do prejudices of ai systems appled to?,use_to,10
excuse me ! who set up the data discretization ?,developer,1
what is enaction?,definition,0
excuse me ! which one set up the main schools of thought and approach ?,developer,1
i want to know that how to describe the drawbacks of data mining ?,drawback,3
i want to know that who is the developer feedforward backpropagation network for supervised learning ?,developer,1
excuse me ! what is the contrast compare opaqueness of ai systems and 5g and ai technology ?,different,2
i want to know that what is the first ai program in human historyfigured as  ?,represent,8
i want to know that what is the requirement to carry out adamm wearable technology ?,method,6
excuse me ! what is main components of agent weathermantraced as  ?,represent,8
hello ! what are the shortcomings of use ?,drawback,3
what is linear and nonlinear regression?,method,6
how many theorems the program has been proved？,developer,1
could you please tell me that are there any the gap from computer vision and city brain ?,different,2
hello ! could you tell me the case of the first-generation mobile network(1g) ?,example,4
hi ! which area that the modelcan be directed at  ?,use_to,10
i want to know that which method can we used to achieve the neural networks ?,method,6
could you please tell me that where v2v (vehicle-to-vehicle technology)can be used for  ?,use_to,10
what is functionalism?,definition,0
hi ! which one is the funder of physical infrastructure ?,developer,1
hi ! can i ask the picture of the first ai program in human history ?,definition,0
could you please tell me that what is informationtraced as  ?,represent,8
hello ! what is the factor to cause intelligent transportation system (its) ?,reason,7
